"Marca temporal","¿Cuál es tu rango de edad?","¿Cuál es tu rango de ingreso mensual?","¿Cuántas aplicaciones bancarias o financieras utilizas activamente?","¿Conoces qué es una fintech?","¿Qué tipo de instituciones financiera utilizas con mayor frecuencia?","¿Cuáles Fintechs utilizas? (Selección múltiple)","Si utilizas fintechs, ¿qué te preocupa de usarlas? (Selección múltiple)","¿Dirías que prefieres Fintechs sobre Bancos tradicionales?","Si la anterior pregunta fue que tienes usos diferentes para Fintechs y Bancos Tradicionales responde que usos si no, escribe NA. ","Si has utilizado tanto Fintechs como bancos tradicionales, ¿qué factor influyó MÁS en tu preferencia?","¿Qué tan difícil te resulta completar una transacción típica (transferencia, pago de servicio) en tu app bancaria principal?","Pensando en la última vez que usaste tu app bancaria, ¿qué fue lo que más te FRUSTRÓ? (Selección múltiple)","Y ¿qué fue lo que más te GUSTÓ? (Selección múltiple)","Cuando tienes un problema con tu banco, ¿qué tipo de atención prefieres?","¿Qué tanto confías en tu institución financiera principal para manejar tu dinero y datos personales?","¿Has tenido alguna vez una preocupación de seguridad con una institución financiera? Si fue así, ¿qué la causó? (Selección múltiple)","¿Cuál es tu banco principal?","¿Qué te haría cambiar de banco? (Selección múltiple)","¿Qué tipo de beneficios valoras más de tu banco? (Selección múltiple, máximo 3)","¿Qué tan importante es para ti tener acceso fácil a sucursales físicas?"
"2026/04/26 1:49:43 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","No","Banca tradicional","Ninguno","No utilizo","No","NA","NA","2","Tiempos de carga","Nada en particular","Atención humana","3","No he tenido ningún problema","BBVA","Recomendación cercana","Ninguno","3"
"2026/04/26 1:56:47 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","No","Banca tradicional","Mercado pago","Falta de sucursales físicas;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","No","NA","Comisiones bajas","1","Nada me frustró","Recompensas o cashback","Atención humana","5","No he tenido ningún problema","Santander","Comisiones más bajas;Recompensas más atractivas;Mejores tasas","Sin comisiones;Tasas de rendimiento","3"
"2026/04/26 2:09:58 p.m. GMT-6","18-25","$10,000MXN–$20,000MXN","2","Si","Ambos","Nu (Nu Bank)","Seguridad de mi dinero;Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Para los bancos tradicionales utilizó para retiros , créditos y trámites , y los fintech por los beneficios de sus intereses y para débito ","Recompensas","2","Tiempos de carga;Errores o caídas;Difícil encontrar funciones","Velocidad;Diseño y facilidad de uso;Notificaciones útiles","Depende del tipo de problema","4","No he tenido ningún problema","BBVA","Recompensas más atractivas;Recomendación cercana","Cashback;Beneficios de viaje;Tasas de rendimiento","1"
"2026/04/26 2:20:22 p.m. GMT-6","18-25","$10,000MXN–$20,000MXN","1","Si","Banca tradicional","Nu (Nu Bank);Rappi Card","Seguridad de mi dinero;Riesgo tecnológico (caídas, hackeos)","No","NA","Confianza institucional","2","Procesos con muchos pasos;Difícil encontrar funciones","Velocidad;Notificaciones útiles;Seguridad (biometría, alertas)","Atención humana","3","Mal soporte ante un problema","BBVA","Comisiones más bajas;Mejor atención","Acceso anticipado a productos;Descuentos en comercios","4"
"2026/04/26 2:31:24 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Seguridad de mi dinero;Falta de sucursales físicas;Regulación o respaldo institucional (IPAB)","No","NA","NA","1","Tiempos de carga;Procesos con muchos pasos;Difícil encontrar funciones","Diseño y facilidad de uso","Atención humana","5","No he tenido ningún problema","BBVA","Comisiones más bajas;Recompensas más atractivas;Mejores tasas","Puntos canjeables;Descuentos en comercios;Sin comisiones","5"
"2026/04/26 2:52:35 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","No","Banca tradicional","Mercado pago;Spin by Oxxo","Seguridad de mi dinero;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","No","NA","Rápidez","3","Difícil encontrar funciones","Funciones disponibles","Depende del tipo de problema","2","Fuga o uso indebido de datos","BBVA","Recompensas más atractivas;Recomendación cercana;Mejores tasas;Mala experiencia con mi banco actual","Ninguno","5"
"2026/04/26 2:59:40 p.m. GMT-6","18-25","$20,000MXN–$50,000MXN","1","He escuchado el término pero no estoy seguro","Ambos","Nu (Nu Bank);Hey Banco","Seguridad de mi dinero;Falta de sucursales físicas;Riesgo tecnológico (caídas, hackeos)","No","NA","Rápidez","2","Errores o caídas;Login o autenticación;Soporte difícil de contactar","Notificaciones útiles;Seguridad (biometría, alertas)","Asistente AI o chatbot","3","Fuga o uso indebido de datos","BBVA","Mala experiencia con mi banco actual","Cashback;Beneficios de viaje","5"
"2026/04/26 3:55:54 p.m. GMT-6","18-25","$10,000MXN–$20,000MXN","2","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Seguridad de mi dinero;Falta de sucursales físicas;Soporte limitado;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","No","NA","NA","1","Tiempos de carga","Seguridad (biometría, alertas)","Atención humana","4","No he tenido ningún problema","Banorte","Comisiones más bajas;Mejor atención;Mejores tasas;Mala experiencia con mi banco actual","Sin comisiones;Tasas de rendimiento","5"
"2026/04/26 4:30:09 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","No","Banca tradicional","Nu (Nu Bank)","Falta de sucursales físicas;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","NA","Recompensas","1","Errores o caídas;Difícil encontrar funciones","Velocidad;Diseño y facilidad de uso","Depende del tipo de problema","5","Mal soporte ante un problema","BBVA","Comisiones más bajas;Recompensas más atractivas;Recomendación cercana;Mala experiencia con mi banco actual","Cashback;Acceso anticipado a productos;Descuentos en comercios","5"
"2026/04/26 6:07:14 p.m. GMT-6","26-40","$20,000MXN–$50,000MXN","4 o más","Si","Fintechs","Nu (Nu Bank);Plata, GBM","Ninguna","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Tradicionales para recibir nómina, las demás para recibir rendimientos ","Rápidez","2","Tiempos de carga;Difícil encontrar funciones;Soporte difícil de contactar","Nada en particular","Depende del tipo de problema","3","No he tenido ningún problema","BBVA","Recompensas más atractivas;Mejores tasas","Cashback;Tasas de rendimiento","2"
"2026/04/26 7:02:13 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","No","Banca tradicional","Ninguno","Ninguna","No","NA","NA","3","Procesos con muchos pasos;Difícil encontrar funciones;Soporte difícil de contactar","Velocidad;Seguridad (biometría, alertas)","Atención humana","3","Fraude o cargo no autorizado","BBVA","Recomendación cercana;Mala experiencia con mi banco actual","Sin comisiones","5"
"2026/04/26 8:13:24 p.m. GMT-6","56+","Más de $50,000MXN","4 o más","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Seguridad de mi dinero","No","NA","NA","1","Tiempos de carga","Diseño y facilidad de uso","Atención humana","3","Fraude o cargo no autorizado","BBVA","Comisiones más bajas;Mejor atención;Recompensas más atractivas","Puntos canjeables","5"
"2026/04/27 12:09:17 a.m. GMT-6","18-25","$10,000MXN–$20,000MXN","1","He escuchado el término pero no estoy seguro","Banca tradicional","Nu (Nu Bank);Mercado pago","Regulación o respaldo institucional (IPAB)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","NA","Rápidez","4","Difícil encontrar funciones","Funciones disponibles","Atención humana","3","Mal soporte ante un problema","BBVA","Mejores tasas","Sin comisiones","3"
"2026/04/27 11:18:27 a.m. GMT-6","18-25","Menos de $10,000 MXN","1","No","Banca tradicional","Ninguno","Ninguna","No","Tradicionales","Rápidez","1","Procesos con muchos pasos;Nada me frustró","Velocidad;Diseño y facilidad de uso","Atención humana","4","No he tenido ningún problema","BBVA","Mejores tasas","Cashback;Beneficios de viaje;Tasas de rendimiento","3"
"2026/04/27 5:11:06 p.m. GMT-6","41-55","Más de $50,000MXN","3","Si","Banca tradicional","Ninguno","Ninguna","No","Na","Confianza institucional","1","Errores o caídas;Nada me frustró","Diseño y facilidad de uso;Notificaciones útiles;Seguridad (biometría, alertas);Recompensas o cashback","Atención humana","4","No he tenido ningún problema","Inbursa","Mala experiencia con mi banco actual","Ninguno","5"
"2026/04/27 5:17:22 p.m. GMT-6","26-40","Menos de $10,000 MXN","2","Si","Ambos","Nu (Nu Bank);Mercado pago","Seguridad de mi dinero","Si","N/A","Rápidez","4","Procesos con muchos pasos","Diseño y facilidad de uso;Funciones disponibles;Notificaciones útiles;Seguridad (biometría, alertas)","Atención humana","3","Mal soporte ante un problema","BBVA","Mejor app;Mejor atención;Recompensas más atractivas","Ninguno","5"
"2026/04/27 5:22:21 p.m. GMT-6","26-40","$20,000MXN–$50,000MXN","4 o más","No","Ambos","Nu (Nu Bank)","Seguridad de mi dinero;Falta de sucursales físicas","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Fintech es de ahorro , banca normal para pagos ","Comisiones bajas","2","Nada me frustró","Diseño y facilidad de uso;Seguridad (biometría, alertas)","Atención humana","3","Fraude o cargo no autorizado","Santander","Comisiones más bajas;Mejor app;Mejor atención;Recompensas más atractivas;Mejores tasas;Mala experiencia con mi banco actual","Cashback;Sin comisiones;Tasas de rendimiento","4"
"2026/04/27 5:24:02 p.m. GMT-6","41-55","Menos de $10,000 MXN","2","Si","Ambos","Nu (Nu Bank);Mercado pago","Soporte limitado","No","NA","Experiencia","1","Nada me frustró","Diseño y facilidad de uso","Atención humana","5","No he tenido ningún problema","Banamex","Comisiones más bajas;Mejor atención;Recompensas más atractivas;Mejores tasas","Acceso anticipado a productos;Descuentos en comercios;Sin comisiones","4"
"2026/04/27 5:28:34 p.m. GMT-6","26-40","$20,000MXN–$50,000MXN","4 o más","Si","Banca tradicional","Nu (Nu Bank);Mercado pago","Seguridad de mi dinero;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Solo ocupo fintechs para las promociones o rendimiento","Confianza institucional","1","Errores o caídas","Velocidad","Depende del tipo de problema","3","Mal soporte ante un problema","BBVA","Mejor app","Cashback;Puntos canjeables;Descuentos en comercios","5"
"2026/04/27 5:37:01 p.m. GMT-6","26-40","Más de $50,000MXN","3","Si","Ambos","Nu (Nu Bank);Mercado pago","Ninguna","No","NA","Rápidez","1","Nada me frustró","Velocidad","Depende del tipo de problema","4","Mal soporte ante un problema","Santander","Mala experiencia con mi banco actual","Acceso anticipado a productos;Descuentos en comercios;Meses sin intereses ","2"
"2026/04/27 5:44:55 p.m. GMT-6","26-40","$20,000MXN–$50,000MXN","3","No","Ambos","Nu (Nu Bank);Mercado pago","Falta de sucursales físicas","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Nu es dónde ahorro y está en crecimiento mi dinero ","Atención al cliente","1","Nada me frustró","Velocidad;Diseño y facilidad de uso;Funciones disponibles;Notificaciones útiles;Seguridad (biometría, alertas)","Atención humana","3","Fraude o cargo no autorizado","BBVA","Recompensas más atractivas;Mejores tasas","Cashback;Puntos canjeables;Sin comisiones","5"
"2026/04/27 7:20:05 p.m. GMT-6","26-40","$20,000MXN–$50,000MXN","4 o más","Si","Ambos","Nu (Nu Bank);Hey Banco;Mercado pago;Klar;Stori;Rappi Card;Spin by Oxxo;Kueski Pay","Seguridad de mi dinero;Falta de sucursales físicas;Soporte limitado;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos);Atención al cliente decadente","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Pagos rápidos fintech, pagos de cantidades grandes banca tradicional ","Comisiones bajas","3","Errores o caídas;Soporte difícil de contactar","Notificaciones útiles;Seguridad (biometría, alertas);Recompensas o cashback","Atención humana","4","Fraude o cargo no autorizado","Banorte","Comisiones más bajas;Mejor atención;Recompensas más atractivas;Recomendación cercana;Mejores tasas;Mala experiencia con mi banco actual","Cashback;Descuentos en comercios;Sin comisiones","5"
"2026/04/27 9:24:46 p.m. GMT-6","41-55","$20,000MXN–$50,000MXN","2","No","Banca tradicional","Ninguno","Falta de sucursales físicas;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","No","NA","NA","1","Errores o caídas","Velocidad;Diseño y facilidad de uso;Funciones disponibles;Notificaciones útiles;Seguridad (biometría, alertas)","Atención humana","4","Fraude o cargo no autorizado","Banorte","Comisiones más bajas;Mejor app;Recompensas más atractivas","Descuentos en comercios","4"
"2026/04/28 7:45:19 a.m. GMT-6","26-40","Más de $50,000MXN","3","Si","Fintechs","Mercado pago","Seguridad de mi dinero;Falta de sucursales físicas;Soporte limitado;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","Si","NA","Comisiones bajas","3","Tiempos de carga;Procesos con muchos pasos;Errores o caídas;Soporte difícil de contactar","Velocidad;Diseño y facilidad de uso;Funciones disponibles;Notificaciones útiles;Seguridad (biometría, alertas);Recompensas o cashback","Depende del tipo de problema","3","Fraude o cargo no autorizado","Santander","Comisiones más bajas;Mejor app;Mejor atención;Recompensas más atractivas;Recomendación cercana;Mejores tasas","Cashback;Descuentos en comercios;Beneficios de viaje","4"
"2026/04/28 7:48:51 a.m. GMT-6","41-55","$20,000MXN–$50,000MXN","4 o más","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Ninguna","No","NA","Ninguno","1","Nada me frustró","Seguridad (biometría, alertas)","Depende del tipo de problema","4","Fraude o cargo no autorizado","BBVA","Recompensas más atractivas","Cashback","3"
"2026/04/28 8:23:37 a.m. GMT-6","41-55","$20,000MXN–$50,000MXN","1","No","Banca tradicional","Rappi Card;Spin by Oxxo","Falta de sucursales físicas","Si","NA","Rápidez","2","Errores o caídas","Nada en particular","Atención humana","2","Fraude o cargo no autorizado","BBVA","Comisiones más bajas","Sin comisiones","1"
"2026/04/28 8:35:37 a.m. GMT-6","18-25","Menos de $10,000 MXN","2","No","Banca tradicional","Ninguno","Ninguna","No","NA","nada","1","Tiempos de carga;Errores o caídas","Diseño y facilidad de uso;Notificaciones útiles;Seguridad (biometría, alertas)","Atención humana","4","No he tenido ningún problema","BBVA","Mejor app;Recompensas más atractivas;Recomendación cercana","Ninguno","3"
"2026/04/28 8:35:55 a.m. GMT-6","41-55","Más de $50,000MXN","4 o más","Si","Banca tradicional","Ninguno","Falta de sucursales físicas;Soporte limitado;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","No","Ma","Rápidez","1","Nada me frustró","Velocidad;Funciones disponibles;Notificaciones útiles;Seguridad (biometría, alertas)","Atención humana","4","No he tenido ningún problema","Banorte","Recompensas más atractivas;Mejores tasas;Mala experiencia con mi banco actual","Puntos canjeables;Descuentos en comercios;Beneficios de viaje","5"
"2026/04/28 8:38:34 a.m. GMT-6","18-25","Menos de $10,000 MXN","1","No","Banca tradicional","Ninguno","Ninguna","No","NA","Confianza institucional","1","Nada me frustró","Nada en particular","Depende del tipo de problema","4","No he tenido ningún problema","BBVA","Recomendación cercana;Mala experiencia con mi banco actual","Ninguno","4"
"2026/04/28 8:38:48 a.m. GMT-6","41-55","$10,000MXN–$20,000MXN","2","No","Banca tradicional","Ninguno","Seguridad de mi dinero","No","NA","Ninguno ","2","Tiempos de carga;Errores o caídas","Diseño y facilidad de uso;Funciones disponibles","Atención humana","3","Fraude o cargo no autorizado","Banorte","Comisiones más bajas;Mejor app","Beneficios de viaje;Sin comisiones;Tasas de rendimiento","3"
"2026/04/28 8:39:23 a.m. GMT-6","18-25","Menos de $10,000 MXN","1","No","Banca tradicional","Ninguno","Ninguna","No","N/A","Comisiones bajas","1","Tiempos de carga;Errores o caídas;Login o autenticación","Funciones disponibles;Notificaciones útiles;Seguridad (biometría, alertas)","Depende del tipo de problema","3","No he tenido ningún problema","BBVA","Mejor app;Recompensas más atractivas","Ninguno","5"
"2026/04/28 8:45:25 a.m. GMT-6","18-25","Menos de $10,000 MXN","1","No","Banca tradicional","Ninguno","Ninguna","No","N/A","Rápidez","1","Tiempos de carga","Velocidad","Atención humana","1","Fraude o cargo no autorizado","BBVA","Recompensas más atractivas","Puntos canjeables","5"
"2026/04/28 8:49:07 a.m. GMT-6","18-25","Menos de $10,000 MXN","3","Si","Fintechs","Nu (Nu Bank);Klar","Seguridad de mi dinero;Falta de sucursales físicas;Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","banca tradicional para retiros en efectivo y fintechs para inversión o crédito ","Rápidez","5","Difícil encontrar funciones","Seguridad (biometría, alertas)","Atención humana","3","No he tenido ningún problema","BBVA","Mejor app;Recompensas más atractivas","Cashback;Sin comisiones;Tasas de rendimiento","4"
"2026/04/28 8:51:55 a.m. GMT-6","41-55","Más de $50,000MXN","3","No","Banca tradicional","Ninguno","Ninguna","No","Desconozco del tema ","Desconozco ","2","Procesos con muchos pasos","Nada en particular","Depende del tipo de problema","3","Fraude o cargo no autorizado","BBVA","Comisiones más bajas;Costo beneficio entre seguridad y rendimiento ","Seguridad y rendimiento ","5"
"2026/04/28 8:54:53 a.m. GMT-6","56+","$20,000MXN–$50,000MXN","2","Si","Banca tradicional","Ninguno","Ninguna","No","N/A","No uso fintechs","1","Nada me frustró","Diseño y facilidad de uso","Atención humana","5","No he tenido ningún problema","Banco Azteca","Recompensas más atractivas","Ninguno","5"
"2026/04/28 8:56:26 a.m. GMT-6","18-25","Menos de $10,000 MXN","2","No","Banca tradicional","Ninguno","Seguridad de mi dinero","No","NA","Confianza institucional","1","Procesos con muchos pasos","Seguridad (biometría, alertas)","Atención humana","5","Fraude o cargo no autorizado","BBVA","Recompensas más atractivas","Beneficios de viaje","5"
"2026/04/28 9:06:42 a.m. GMT-6","18-25","Menos de $10,000 MXN","2","He escuchado el término pero no estoy seguro","Banca tradicional","Rappi Card","Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Rappi Card la utilizo solo para pedir comida ","Confianza institucional","2","Errores o caídas","Seguridad (biometría, alertas)","Atención humana","3","Fraude o cargo no autorizado","BBVA","Recompensas más atractivas","Cashback;Puntos canjeables;Sin comisiones","3"
"2026/04/28 9:38:47 a.m. GMT-6","18-25","Menos de $10,000 MXN","2","No","Banca tradicional","Nu (Nu Bank)","Seguridad de mi dinero;Riesgo tecnológico (caídas, hackeos)","Si","Na","Recompensas","1","Nada me frustró","Nada en particular","Depende del tipo de problema","4","Fraude o cargo no autorizado","BBVA","Mejor app;Mejor atención;Recompensas más atractivas","Sin comisiones;Ninguno","3"
"2026/04/28 11:45:39 a.m. GMT-6","41-55","Menos de $10,000 MXN","1","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Seguridad de mi dinero;Riesgo tecnológico (caídas, hackeos)","Si","Na ","Confianza institucional","5","Procesos con muchos pasos;","Nada en particular","Atención humana","1","No he tenido ningún problema","BBVA","Recomendación cercana","Ninguno;","2"
"2026/04/28 1:40:04 p.m. GMT-6","41-55","$20,000MXN–$50,000MXN","2","Si","Banca tradicional","Mercado pago","Ninguna","No","Na","Rápidez","2","Nada me frustró","Velocidad","Atención humana","5","Fraude o cargo no autorizado","BBVA","Mejores tasas","Ninguno","3"
"2026/04/28 3:29:08 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Ninguna","No","NA","No uso","1","Difícil encontrar funciones","Velocidad;Seguridad (biometría, alertas)","Atención humana","4","No he tenido ningún problema","Banamex","Recompensas más atractivas;Mejores tasas;Mala experiencia con mi banco actual","Cashback;Acceso anticipado a productos;Descuentos en comercios","5"
"2026/04/28 5:47:36 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","He escuchado el término pero no estoy seguro","Banca tradicional","Nu (Nu Bank)","Falta de sucursales físicas;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","No","NA","Comisiones bajas","1","Nada me frustró","Diseño y facilidad de uso","Atención humana","5","Fraude o cargo no autorizado","BBVA","Comisiones más bajas;Recompensas más atractivas","Ninguno","4"
"2026/04/28 7:25:25 p.m. GMT-6","18-25","Prefiero no decir","1","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Seguridad de mi dinero;Falta de sucursales físicas;Regulación o respaldo institucional (IPAB)","No","NA","Confianza institucional","2","Login o autenticación","Velocidad;Diseño y facilidad de uso;Funciones disponibles;Recompensas o cashback","Atención humana","4","No he tenido ningún problema","BBVA","Recompensas más atractivas;Recomendación cercana;Mejores tasas","Cashback;Puntos canjeables","4"
"2026/04/28 10:02:39 p.m. GMT-6","41-55","$20,000MXN–$50,000MXN","2","Si","Ambos","Nu (Nu Bank);Mercado pago","Ninguna","Tengo usos diferentes para Fintechs y Bancos Tradicionales","La fintechs las uso para manejar cantidades pequeñas de dinero por las tasas que manejan. Y tarjeta de crédito. Mis operaciones de transferencias, pagos las hago en banca tradicional. ","Comisiones bajas","1","Nada me frustró","Velocidad;Diseño y facilidad de uso;Seguridad (biometría, alertas)","Atención humana","5","El uso de contraseña para acceder al audiomatico","Banamex","Mala experiencia con mi banco actual","Sin comisiones","2"
